date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:58:03	751262/751262	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-brands-400.svg	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-brands-400.svg	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:03	13276/13276	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-regular-400.woff2	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-regular-400.woff2	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:04	16276/16276	---M--	200	added ('OK')	application/font-woff	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-regular-400.woff	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-regular-400.woff	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:06	33736/33736	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-regular-400.ttf	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-regular-400.ttf	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:07	145515/145515	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-regular-400.svg	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-regular-400.svg	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:10	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.eot	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.eot	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:10	78196/78196	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.woff2	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.woff2	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:11	101652/101652	---M--	200	added ('OK')	application/font-woff	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.woff	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.woff	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:11	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.eot?	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900d41d.eot	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:13	202744/202744	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.ttf	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.ttf	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:13	15702/15702	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Oct%202023%2021:58:13%20GMT	https://sso.uib.es/cas/css/uib-theme/fonts/academicons.eot	sso.uib.es/cas/css/uib-theme/fonts/academicons.45.delayed	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:14	924025/924025	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.svg	sso.uib.es/cas/css/uib-theme/font-awesome-5.15/webfonts/fa-solid-900.svg	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:14	15702/15702	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Oct%202023%2021:58:13%20GMT	https://sso.uib.es/cas/css/uib-theme/fonts/academicons.ttf	sso.uib.es/cas/css/uib-theme/fonts/academicons.46.delayed	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:15	15702/15702	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Oct%202023%2021:58:15%20GMT	https://sso.uib.es/cas/css/uib-theme/fonts/academicons.woff	sso.uib.es/cas/css/uib-theme/fonts/academicons.47.delayed	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:16	15702/15702	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Oct%202023%2021:58:16%20GMT	https://sso.uib.es/cas/css/uib-theme/fonts/academicons.svg	sso.uib.es/cas/css/uib-theme/fonts/academicons.48.delayed	(from https://sso.uib.es/cas/css/uib-theme/estils.css)
23:58:17	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:58:17%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure&locale=en	sso.uib.es/cas/clientredirect.490d4d.delayed	(from https://sso.uib.es/cas/login?locale=en)
23:58:18	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:58:17%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure_2FA&locale=en	sso.uib.es/cas/clientredirect.4aa6a5.delayed	(from https://sso.uib.es/cas/login?locale=en)
23:58:19	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:58:19%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure_MFA&locale=en	sso.uib.es/cas/clientredirect.4b911f.delayed	(from https://sso.uib.es/cas/login?locale=en)
